logFC	AveExpr	t	P.Value	adj.P.Val
TEAD2	74.242909842922	29.0668421463163	3.47880756243923	0.00082894039564627	0.0137559915840013
OVCH2	0.901384576176338	0.181089615061728	3.47804344679354	0.000830984841359942	0.0137772555654304
WNT16	17.7672528361733	2.86484793111111	3.47164034477587	0.000848305140990296	0.0140515131381466
POFUT2	27.7081143779401	17.8169980174666	3.4691249027451	0.000855202293288732	0.0141527748903099
CXCR2	0.853560994526677	0.246449427884311	3.46831362050574	0.000857438049402273	0.0141767802032583
C1R	147.67752200111	58.9366308229917	3.46534350802239	0.000865670401064023	0.0142997978876587
TSPAN4	41.2925362757796	30.2041809355514	3.46500743913288	0.000866606583750109	0.0143021772117077
ASB2	5.01833423263447	1.93668744363302	3.46410285219692	0.000869131235958739	0.0143207909795254
ADAMTSL4	9.9695622896062	4.77770770573788	3.46403503394915	0.000869320792775401	0.0143207909795254
TMEM88	8.47120410781226	3.44202769135802	3.4631979070125	0.000871663841984264	0.0143462996053107
SVEP1	3.76585817203857	1.0783132937262	3.46116052124294	0.000877391278874614	0.0144274130601832
IGIP	6.18741523361823	3.73447381481481	3.45924614517858	0.000882805305605972	0.0145032300206695
PDP1	15.3722688262248	11.8701749513158	3.45880644560533	0.000884053265508067	0.0145105288261347
SLC4A3	13.7855383941804	5.61936623465609	3.45813364589368	0.000885966039833273	0.0145287164842777
FILIP1	2.66216627524318	1.11610406553999	3.45407352887315	0.000897592238270641	0.0146995647945812
SLC2A10	7.81228297653321	4.01471013703704	3.4539276145546	0.000898012737104575	0.0146995647945812
PTCHD4	2.10442664013945	0.67201196308642	3.45206050773589	0.000903409856195943	0.0147745153565378
SH3KBP1	19.5560651077777	10.5298381924352	3.45168481777833	0.000904499534429917	0.0147789494064544
ADGRL4	16.4305011783328	6.7173170420482	3.45080801922733	0.000907047496364967	0.0148071813262834
